word,char_count,corpus_count,term_freq,inv_doc_freq,tfidf
0,rick,285,457,0.05025568682771998,58.39824945295405,0.2044042471460618
1,know,152,417,0.026803032974783987,64.0,0.11147068042156058
2,oh,139,451,0.024510668312466937,59.175166297117514,0.10001583022855855
3,like,70,268,0.012343502027861048,99.58208955223881,0.05679223465444069
4,right,61,235,0.010756480338564627,113.56595744680851,0.0509037932025874
5,get,60,262,0.01058014459530947,101.86259541984732,0.04891861895324327
6,gonna,58,237,0.010227473108799153,112.60759493670886,0.04831365394345862
7,okay,57,175,0.010051137365543996,152.50285714285715,0.05052891022401564
8,man,56,107,0.009874801622288838,249.42056074766356,0.05450041727367444
9,yeah,53,246,0.009345794392523364,108.48780487804878,0.04380035298342159
10,geez,46,61,0.00811144418973726,437.5081967213115,0.04932646628201683
11,got,45,205,0.007935108446482103,130.18536585365854,0.038635720273479626
12,dad,41,124,0.0072297654734614705,215.2258064516129,0.03883604255363973
13,hey,41,168,0.0072297654734614705,158.85714285714286,0.0366404899234639
14,think,40,144,0.007053429730206313,185.33333333333334,0.03683411042555086
15,well,39,186,0.006877093986951155,143.48387096774192,0.03415317979657302
16,go,39,211,0.006877093986951155,126.48341232227489,0.03328589943495219
17,morty,39,697,0.006877093986951155,38.28981348637016,0.025068272241495333
18,mean,38,117,0.006700758243695997,228.10256410256412,0.036383746089526936
19,uh,36,138,0.0063480867571856815,193.3913043478261,0.03342087150767866
20,really,36,116,0.0063480867571856815,230.06896551724137,0.03452330243446939
21,summer,36,139,0.0063480867571856815,192.0,0.033375036747134566
22,something,34,87,0.005995415270675366,306.7586206896552,0.034330114678386925
23,could,34,104,0.005995415270675366,256.61538461538464,0.03326003629070383
24,god,33,148,0.005819079527420208,180.32432432432432,0.030228704291309083
25,want,32,136,0.00564274378416505,196.23529411764707,0.02978981862484879
26,one,32,151,0.00564274378416505,176.74172185430464,0.02919944683247991
27,whoa,31,112,0.0054664080409098925,238.28571428571428,0.029920222791353333
28,um,30,50,0.005290072297654735,533.76,0.03322136995096276
29,time,30,148,0.005290072297654735,180.32432432432432,0.027480640264826443
30,ca,27,88,0.004761065067889261,303.27272727272725,0.027207737127202824
31,i-i,27,49,0.004761065067889261,544.6530612244898,0.02999541935995272
32,come,26,131,0.0045847293246341035,203.72519083969465,0.024375960418072717
33,would,26,97,0.0045847293246341035,275.1340206185567,0.025753608974260687
34,thing,25,98,0.004408393581378946,272.3265306122449,0.024717870862669293
35,us,25,105,0.004408393581378946,254.17142857142858,0.024413723130845312
36,hell,24,62,0.004232057838123787,430.4516129032258,0.02566673216059269
37,aw,23,32,0.00405572209486863,834.0,0.02727973342518977
38,look,23,119,0.00405572209486863,224.2689075630252,0.02195299835603592
39,let,23,124,0.00405572209486863,215.2258064516129,0.0217860726520418
40,mortys,22,30,0.003879386351613472,889.6,0.026344027916931582
41,stop,21,62,0.003703050608358314,430.4516129032258,0.022458390640518605
42,jessica,20,29,0.0035267148651031564,920.2758620689655,0.02406867739436431
43,back,20,117,0.0035267148651031564,228.10256410256412,0.01914934004711944
44,take,20,110,0.0035267148651031564,242.61818181818182,0.01936691567401184
45,going,19,99,0.0033503791218479984,269.57575757575756,0.018751567562238367
46,help,19,70,0.0033503791218479984,381.25714285714287,0.01991289141228587
47,see,19,85,0.0033503791218479984,313.9764705882353,0.019262395155121667
48,people,19,75,0.0033503791218479984,355.84,0.019681739136099646
49,ricks,19,53,0.0033503791218479984,503.54716981132077,0.02084497803571163
50,place,18,47,0.0031740433785928408,567.8297872340426,0.02012921718604681
51,make,18,84,0.0031740433785928408,317.7142857142857,0.01828614796573318
52,around,17,55,0.002997707635337683,485.23636363636365,0.0185397309184874
53,maybe,17,53,0.002997707635337683,503.54716981132077,0.0186507698214262
54,good,17,102,0.002997707635337683,261.6470588235294,0.01668822788958939
55,mom,16,47,0.002821371892082525,567.8297872340426,0.017892637498708275
56,wow,16,32,0.002821371892082525,834.0,0.01897720586100158
57,stuff,16,46,0.002821371892082525,580.1739130434783,0.01795331450162406
58,wait,16,80,0.002821371892082525,333.6,0.01639200894511611
59,put,15,66,0.0026450361488273674,404.3636363636364,0.015876338996117213
60,whole,15,50,0.0026450361488273674,533.76,0.01661068497548138
61,little,15,101,0.0026450361488273674,264.23762376237624,0.014750966641643135
62,ooh,15,37,0.0026450361488273674,721.2972972972973,0.017407118830490873
63,huh,15,62,0.0026450361488273674,430.4516129032258,0.016041707600370433
64,say,15,83,0.0026450361488273674,321.5421686746988,0.015270134096354812
65,jr,15,16,0.0026450361488273674,1668.0,0.019624529843727808
66,y-you,14,36,0.0024687004055722094,741.3333333333334,0.01631428410048194
67,pretty,14,45,0.0024687004055722094,593.0666666666667,0.015763409524851727
68,kind,13,43,0.0022923646623170518,620.6511627906976,0.014741668041446632
69,sure,13,47,0.0022923646623170518,567.8297872340426,0.014537767967700475
70,cool,13,49,0.0022923646623170518,544.6530612244898,0.014442238951088347
71,crazy,12,22,0.0021160289190618937,1213.090909090909,0.015025766570552265
72,ohh,12,17,0.0021160289190618937,1569.8823529411766,0.015571340422011477
73,even,12,52,0.0021160289190618937,513.2307692307693,0.013205555817126529
74,world,12,52,0.0021160289190618937,513.2307692307693,0.013205555817126529
75,give,12,53,0.0021160289190618937,503.54716981132077,0.01316524928571261
76,life,12,60,0.0021160289190618937,444.8,0.01290275029364071
77,crap,12,41,0.0021160289190618937,650.9268292682926,0.013708475905739724
78,tell,12,52,0.0021160289190618937,513.2307692307693,0.013205555817126529
79,sorry,12,45,0.0021160289190618937,593.0666666666667,0.013511493878444338
80,sister,12,20,0.0021160289190618937,1334.4,0.015227445667299205
81,bleep,12,91,0.0021160289190618937,293.27472527472526,0.012021392626291566
82,talking,11,36,0.001939693175806736,741.3333333333334,0.012818366078950096
83,great,11,47,0.001939693175806736,567.8297872340426,0.01230118828036194
84,things,11,33,0.001939693175806736,808.7272727272727,0.012987141453114429
85,w-what,11,19,0.001939693175806736,1404.6315789473683,0.014057985114779115
86,home,11,53,0.001939693175806736,503.54716981132077,0.012068145178569894
87,thought,11,34,0.001939693175806736,784.9411764705883,0.012929235864215382
88,way,11,60,0.001939693175806736,444.8,0.011827521102503985
89,easy,11,24,0.001939693175806736,1112.0,0.013604843982175244
90,please,11,44,0.001939693175806736,606.5454545454545,0.012429126500377771
91,feel,11,36,0.001939693175806736,741.3333333333334,0.012818366078950096
92,boy,10,35,0.0017633574325515782,762.5142857142857,0.011702735397053535
93,kill,10,34,0.0017633574325515782,784.9411764705883,0.011753850785650348
94,need,10,70,0.0017633574325515782,381.25714285714287,0.010480469164360986
95,anything,10,45,0.0017633574325515782,593.0666666666667,0.011259578232036948
96,real,10,70,0.0017633574325515782,381.25714285714287,0.010480469164360986
97,bad,10,41,0.0017633574325515782,650.9268292682926,0.011423729921449771
98,parents,10,31,0.0017633574325515782,860.9032258064516,0.011916737966272838
99,first,10,44,0.0017633574325515782,606.5454545454545,0.011299205909434337
