word,char_count,corpus_count,term_freq,inv_doc_freq,tfidf
0,morty,593,697,0.04379939434227048,38.28981348637016,0.159656846840829
1,oh,184,451,0.013590368564886624,59.175166297117514,0.0554555256430066
2,know,181,417,0.013368786468719994,64.0,0.05559921988980726
3,get,147,262,0.010857522712164856,101.86259541984732,0.05020111129370074
4,gonna,138,237,0.010192776423664968,112.60759493670886,0.048149749954592015
5,right,133,235,0.009823472930053919,113.56595744680851,0.046488444065655055
6,yeah,128,246,0.009454169436442868,108.48780487804878,0.04430826755749628
7,got,120,205,0.008863283846665189,130.18536585365854,0.04315496854438347
8,go,119,211,0.00878942314794298,126.48341232227489,0.04254178517100277
9,like,114,268,0.008420119654331929,99.58208955223881,0.038740821700999205
10,rick,97,457,0.007164487776054361,58.39824945295405,0.02914002021446444
11,time,88,148,0.006499741487554472,180.32432432432432,0.03376457779471922
12,one,87,151,0.006425880788832263,176.74172185430464,0.033251937642801446
13,buurp,83,85,0.006130437993943423,313.9764705882353,0.035245837804819935
14,hey,83,168,0.006130437993943423,158.85714285714286,0.03106909240251738
15,summer,79,139,0.005834995199054583,192.0,0.030677460254833793
16,come,78,131,0.005761134500332373,203.72519083969465,0.030630638495654856
17,well,75,186,0.005539552404165743,143.48387096774192,0.02751065051764498
18,jerry,72,149,0.005317970307999114,179.11409395973155,0.02758975226703132
19,let,71,124,0.0052441096092769035,215.2258064516129,0.028169719293027105
20,little,69,101,0.005096388211832484,264.23762376237624,0.028421786423952124
21,take,68,110,0.005022527513110274,242.61818181818182,0.027581154285906778
22,bleep,65,91,0.004800945416943645,293.27472527472526,0.027274698050942132
23,think,62,144,0.004579363320777015,185.33333333333334,0.023914149667339783
24,really,59,116,0.004357781224610385,230.06896551724137,0.023699266395529536
25,back,59,117,0.004357781224610385,228.10256410256412,0.023661860318434327
26,uh,59,138,0.004357781224610385,193.3913043478261,0.02294247888175455
27,good,58,102,0.004283920525888175,261.6470588235294,0.023848570539087358
28,whoa,57,112,0.0042100598271659646,238.28571428571428,0.023043637988788872
29,look,54,119,0.0039884777309993355,224.2689075630252,0.02158901498268225
