SentenceID,Season,Episode,Sentence
1,1,Ricksy_Business,"This article is a transcript of the Rick and Morty episode ""Ricksy Business"" from season 1, which aired on April 14, 2014.
"
2,1,Ricksy_Business,"♪ then slide around ♪
♪ like on a nordictrack ♪
♪ move to the left ♪
♪ step to the right ♪
♪ wiggle your elbows, and look ♪
♪ up into the light ♪
♪ it's the, it's the ♪
♪ it's the Rick dance ♪
♪ it's the, it's the ♪
♪ it's the Rick dance ♪
"
